,year,quarter,ent_code,ent_nombre,pob_total,pob_hombres_total,pob_mujeres_total,pet_hombres_15mas,pet_mujeres_15mas,pea_hombres,pea_mujeres,ing_prom_mes_total,ing_prom_hora_total,periodo
805,2024,4,6,Colima,719445.0,347588.0,371857.0,266339.0,296377.0,205487.0,162704.0,7477.348033836623,45.29171566791216,2024-T4
806,2024,4,7,Chiapas,5914879.0,2773866.0,3141013.0,1963607.0,2265916.0,1577459.0,712096.0,5348.451474170298,32.23314969078379,2024-T4
807,2024,4,8,Chihuahua,3900629.0,1881197.0,2019432.0,1451096.0,1588278.0,1099680.0,783402.0,8076.597607774137,48.94299448101253,2024-T4
808,2024,4,9,Ciudad de México,9352517.0,4347721.0,5004796.0,3648604.0,4354909.0,2734173.0,2484036.0,6182.284159323918,42.46571031995122,2024-T4
809,2024,4,10,Durango,1890563.0,910621.0,979942.0,678256.0,764770.0,511513.0,368801.0,7483.595158186834,48.23896362647329,2024-T4
810,2024,4,11,Guanajuato,6313504.0,2968762.0,3344742.0,2203617.0,2633475.0,1652243.0,1248563.0,4759.837058408836,28.715211817064592,2024-T4
811,2024,4,12,Guerrero,3603188.0,1693207.0,1909981.0,1202043.0,1428740.0,893119.0,692662.0,4590.878217938169,30.01995699275149,2024-T4
812,2024,4,13,Hidalgo,3222994.0,1511480.0,1711514.0,1133954.0,1369625.0,862959.0,631711.0,5770.564603633192,36.95151090074817,2024-T4
813,2024,4,14,Jalisco,8732495.0,4157000.0,4575495.0,3190559.0,3606893.0,2372762.0,1606819.0,5930.312680301731,33.66663307644691,2024-T4
814,2024,4,15,México,17728216.0,8485692.0,9242524.0,6691402.0,7554986.0,4955007.0,3430435.0,3336.988885445924,19.201465499577697,2024-T4
815,2024,4,16,Michoacán,4943602.0,2363993.0,2579609.0,1750592.0,1990414.0,1345486.0,906479.0,6912.439987833042,46.939214417551966,2024-T4
816,2024,4,17,Morelos,1964164.0,923111.0,1041053.0,733450.0,838079.0,498741.0,380248.0,2971.11225952234,18.85231125855642,2024-T4
817,2024,4,18,Nayarit,1237293.0,601907.0,635386.0,462456.0,495423.0,361820.0,272242.0,8668.820923195777,54.353667868779375,2024-T4
818,2024,4,19,Nuevo León,6130641.0,3021957.0,3108684.0,2375954.0,2474436.0,1827445.0,1196714.0,9465.995776653952,56.8836202220253,2024-T4
